id,name,country,age
282274,alex kacaniklic,Sweden,25
39566,alex manninger,Austria,39
119079,alex mccarthy,United_Kingdom,26
196386,alex oxlade-chamberlain,United_Kingdom,23
49709,alex pearce,United_Kingdom,27
41136,alex pinardi,Italy,36
157865,alex sandro,Brazil,25
23678,alex song,Cameroon,29
26564,alex,Brazil,34
27306,alexander baumjohann,Germany,29
27535,alexander bugera,Germany,38
147735,alexander esswein,Germany,26
31672,alexander farnerud,Sweden,32
34102,alexander frei,Switzerland,37
38206,alexander iashvili,Georgia,38
27297,alexander laas,Germany,32
34420,alexander madlung,Germany,34
27478,alexander meier,Germany,33
192504,alexander merkel,Kazakhstan,24
248437,alexander schwolow,Germany,24
40100,alexander tettey,Ghana,30
265727,alexandre coeff,France,24
33840,alexandre geijo,Switzerland,34
42321,alexandros tziolis,Greece,31
42306,alexandros tzorvas,Greece,34
298923,alexandru maxim,Romania,26
281019,alexis rolin,Uruguay,27
37479,alexis,Spain,31
27667,alfonso de lucia,Italy,32
629594,alfonso pedraza,Spain,20
317156,alfred duncan,Spain,23
239946,alfredo morales,Germany,26
256727,alhassane bangoura,Guinea,24
41718,alhassane keita,Guinea,33
476771,ali adnan,Iraq,22
25156,ali al-habsi,Oman,34
169752,aljaz struna,Slovenia,26
32496,allan mcgregor,United_Kingdom,34
213809,allan nyom,France,28
25816,almen abdi,Kosovo,29
174093,almog cohen,Israel,28
39978,alou diarra,France,35
46211,alvaro anton,Spain,32
37442,alvaro arbeloa,Spain,33
201916,alvaro arroyo,Spain,28
183350,alvaro cejudo,Spain,32
474658,alvaro garcia,Spain,23
183327,alvaro gimenez,Spain,25
257855,alvaro gonzalez soberon,Spain,26
57067,alvaro gonzalez,Uruguay,31
523390,alvaro medran,Spain,22
213501,alvaro morata,Spain,23
75310,alvaro negredo,Spain,31
33586,alvaro rubio,Spain,37
282467,alvaro vadillo,Spain,22
213489,alvaro vazquez,Spain,25
93484,aly cissokho,France,29
38827,amauri,Brazil,36
35636,amdy faye,Senegal,39
244840,amidu salifu,Ghana,24
309505,amin younes,Germany,23
156105,amine linganzi,Algeria,26
213814,anaitz arbilla,Spain,29
164676,ander herrera,Spain,27
150323,ander iturraspe,Spain,27
33021,ander murillo,Spain,33
145561,anderson,Brazil,28
40961,anderson,Brazil,28
33025,andoni iraola,Spain,34
95955,andre ayew,France,26
38504,andre bikey,Cameroon,31
35244,andre dias,Brazil,37
361770,andre gomes,Portugal,23
243829,andre hahn,Germany,26
212915,andre hoffmann,Germany,23
27504,andre lenz,Germany,42
38170,andre mijatovic,Croatia,36
37764,andre ooijer,Netherlands,42
251244,andre ramalho silva,Brazil,24
78541,andre santos,Brazil,33
265918,andre wisdom,United_Kingdom,23
39744,andrea ardito,Italy,39
30902,andrea barzagli,Italy,35
309726,andrea belotti,Italy,22
154239,andrea bertolacci,Italy,25
39510,andrea campagnolo,Italy,38
27664,andrea caracciolo,Italy,35
150393,andrea catellani,Italy,28
39643,andrea coda,Italy,31
39170,andrea consigli,Italy,29
41326,andrea cossu,Italy,36
41865,andrea costa,Italy,30
414792,andrea dossena,Italy,35
41942,andrea esposito,Italy,30
39495,andrea gasbarroni,Italy,35
41404,andrea lazzari,Italy,31
74542,andrea lisuzzo,Italy,35
41369,andrea luci,Italy,31
24443,andrea mantovani,Italy,32
41879,andrea masiello,Italy,30
159606,andrea mazzarani,Italy,26
37645,andrea orlandi,Spain,32
39538,andrea parola,Italy,37
30731,andrea pirlo,Italy,37
27676,andrea pisanu,Italy,34
57124,andrea poli,Italy,26
24493,andrea raggi,Italy,32
150464,andrea seculin,Italy,26
364164,andrea tabanelli,Italy,26
24457,andrea zanchetta,Italy,41
39841,andreas beck,Russia,29
449232,andreas christensen,Denmark,20
30424,andreas granqvist,Sweden,31
33792,andreas hinkel,Germany,34
38213,andreas ibertsberger,Austria,34
42873,andreas ivanschitz,Austria,32
40495,andreas johansson,Sweden,34
178771,andreas luthe,Germany,29
25365,andreas ottl,Germany,31
184360,andreas weimann,Austria,25
27438,andreas wolf,Tajikistan,34
173461,andrej kramaric,Croatia,25
31045,andres guardado,Mexico,30
30955,andres iniesta,Spain,32
57057,andres lamas,Uruguay,32
33986,andres palop,Spain,42
172948,andreu fontas,Spain,26
74744,andreu mayoral,Spain,33
23528,andrew crofts,United_Kingdom,32
23022,andrew dawson,United_Kingdom,37
31907,andrew johnson,United_Kingdom,35
23866,andrew keogh,Republic_of_Ireland,30
17866,andrew reid,Republic_of_Ireland,34
357880,andrew robertson,United_Kingdom,22
37369,andrew sinkala,Zambia,37
23629,andrew surman,South_Africa,30
24161,andrew taylor,United_Kingdom,30
308236,andrew wooten,Germany,26
3520,andrey arshavin,Russia,35
38367,andrija delibasic,Montenegro,35
166422,andros townsend,United_Kingdom,25
432950,angel correa,Argentina,21
46509,angel di maria,Argentina,28
33762,angel javier arizmendi,Spain,32
38573,angel lafita,Spain,32
33733,angel lopez,Spain,35
33820,angel manuel vivar dorado,Spain,42
105925,angel montoro,Spain,28
89185,angel rangel,Spain,33
280485,angel trujillo,Spain,29
155246,angelo da costa,Brazil,32
49543,angelo obinze ogbonna,Italy,28
27702,angelo palombo,Italy,35
17836,angelo,Brazil,35
33850,angelos basinas,Greece,40
38810,angelos charisteas,Greece,36
202343,anselmo,Brazil,27
265725,ante rebic,Croatia,23
71619,anthony annan,Ghana,30
24509,anthony gardner,United_Kingdom,36
202562,anthony knockaert,France,24
413557,anthony martial,France,20
24162,anthony mcmahon,United_Kingdom,30
47194,anthony pilkington,United_Kingdom,28
32579,anthony reveillere,France,36
38368,anthony vanden borre,Democratic_Republic_of_the_Congo,28
184138,antoine griezmann,France,25
11736,antolin alcaraz,Paraguay,34
24740,anton ferdinand,United_Kingdom,31
16678,anton putsila,Orsha_Raion,29
40648,antonio adan,Spain,29
150731,antonio amaya,Spain,33
41769,antonio balzano,Italy,30
35324,antonio barragan,Spain,29
39485,antonio bocchetti,Italy,36
24464,antonio busce,Italy,40
11685,antonio candreva,Italy,29
32748,antonio cassano,Italy,34
41881,antonio chimenti,Italy,46
358142,antonio cotan,Spain,21
34413,antonio da silva,Brazil,38
299374,antonio di gaudio,Italy,27
27734,antonio di natale,Italy,38
212772,antonio donnarumma,Italy,26
37499,antonio filippini,Italy,43
41542,antonio floro flores,Italy,33
37433,antonio guayre,Spain,36
33832,antonio hidalgo,Spain,37
24409,antonio langella,Italy,39
32656,antonio lopez,Spain,35
202553,antonio luna,Spain,25
517294,antonio marin molina,Spain,20
182839,antonio mazzotta,Italy,27
35644,antonio mirante,Italy,33
39367,antonio nocerino,Italy,31
27560,antonio rosati,Italy,33
79737,antonio rukavina,Serbia,32
474448,antonio sanabria,Paraguay,20
37793,antonio tomas,Spain,31
35327,antonio valencia,Ecuador,31
74291,antonio zito,Italy,30
45244,antunes,Portugal,29
186975,apostolos vellios,Greece,24
70255,aquivaldo mosquera,Colombia,35
182776,archimede morleo,Italy,33
38362,ariel ibagaza,Argentina,39
149584,ariel nahuelpan,Argentina,28
38263,aristide bance,Ivory_Coast,32
33028,aritz aduriz,Spain,35
607148,aritz elustondo,Spain,22
75331,aritz lopez garai,Spain,35
37496,ariza makukula,The_Democratic_Republic_Of_Congo,35
30834,arjen robben,Netherlands,32
277460,arkadiusz milik,Poland,22
301023,armando izzo,Italy,24
107502,armin bacinovic,Slovenia,26
30819,arne friedrich,Germany,37
34400,arnold bruggink,Netherlands,39
26324,arnold mvuemba,France,31
172388,aron johannsson,United_States,25
30922,arouna kone,Ivory_Coast,32
38842,arthur boka,Ivory_Coast,33
30974,artur boruc,Poland,36
69008,artur sobiech,Poland,26
30266,artur wichniarek,Poland,39
19344,artur,Brazil,35
49939,arturo vidal,Chile,29
30901,aruna dindane,Ivory_Coast,35
41980,asamoah gyan,Ghana,30
27339,ashkan dejagah,Iran,30
107280,ashley barnes,United_Kingdom,26
38834,ashley cole,United_Kingdom,35
24948,ashley williams,United_Kingdom,32
23354,ashley young,United_Kingdom,31
34575,asier del horno,Spain,35
102002,asier goiria,Spain,36
205278,asier illarramendi,Spain,26
33958,asier riesgo,Spain,32
46518,asmir begovic,Bosnia_and_Herzegovina,29
612212,assane diousse,Senegal,19
36180,assani lukimya-mulongoti,Democratic_Republic_of_the_Congo,30
200964,athanasios petsos,Germany,25
72813,atsuto uchida,Japan,28
72623,augusto fernandez,Argentina,30
27524,axel bellinghausen,Germany,33
192770,aymen abdennour,Tunisia,27
411617,aymeric laporte,France,22
33893,ayoze diaz diaz,Spain,34
75354,ayoze garcia perez,Spain,30
119427,aytac sulu,Germany,30
115798,baba,Senegal,28
26111,bacary sagna,France,33
26344,bafetimbi gomis,France,31
46417,bakary sako,France,28
46242,bakaye traore,France,31
488958,balde diao keita,Spain,21
150641,baltasar rigo,Spain,31
27733,barreto,Brazil,31
161415,barry bannan,United_Kingdom,26
25551,bartholomew ogbeche,Nigeria,31
155256,bartosz salamon,Poland,25
104045,bas dost,Netherlands,27
155534,bastian oczipka,Germany,27
27293,bastian reinhardt,Germany,40
118386,bastian schulz,Germany,31
30872,bastian schweinsteiger,Germany,32
66929,beg ferati,Kosovo,29
24399,ben alnwick,England,29
155936,ben amos,United_Kingdom,26
276121,ben davies,United_Kingdom,23
24147,ben foster,Warwickshire,33
45571,ben hamer,United_Kingdom,28
47552,ben sahar,Israel,27
22991,ben watson,United_Kingdom,31
36147,benedikt fernandez,Germany,31
35875,benedikt pliquett,Germany,31
232253,benik afobe,United_Kingdom,23
36518,benjamin kessel,Germany,28
192920,benjamin stambouli,France,26
40006,benoit assou-ekotto,France,32
41092,benoit tremoulinas,France,30
32577,bernard mendy,France,35
34531,bernardo corradi,Italy,40
150764,bernardo,Colombia,27
215168,bernd leno,Germany,24
39842,bernd nehrig,Germany,30
303059,bertrand traore,Burkina_Faso,21
291620,bjarne thoelke,Germany,24
30940,blerim dzemaili,Macedonia,30
197910,bo-kyung kim,South_Korea,26
58499,bojan jokic,Slovenia,30
96643,bojan krkic,Spain,26
46030,bolatti,Argentina,31
435684,boris radunovic,Serbia,20
141160,boris vukcevic,Croatia,26
242151,borja ekiza,Spain,28
175305,borja garcia,Spain,25
213823,borja gomez,Spain,28
410424,borja lopez,Spain,22
38433,borja valero,Spain,31
102623,borja viguera,Spain,29
40601,bosko jankovic,Serbia,32
35996,boubacar sanogo,Ivory_Coast,33
24116,boudewijn zenden,Netherlands,40
30380,brad friedel,United_States,45
69650,brad guzan,United_States,32
515338,brad smith,Australia,22
24583,bradley johnson,United_Kingdom,29
35442,bradley jones,Australia,34
258245,branimir hrgota,Bosnia_and_Herzegovina,23
31306,branislav ivanovic,Serbia,32
12454,branko ilic,Slovenia,33
19674,branko jelic,Bosnia_and_Herzegovina,39
38379,braulio,Spain,31
110331,brayan angulo,Colombia,26
26777,brede hangeland,United_States,35
93041,breno,Brazil,26
30842,brett emerton,Australia,37
30503,brett holman,Australia,32
23299,brett ormerod,United_Kingdom,39
24788,brian jensen,Denmark,41
115160,brown ideye,Nigeria,27
39441,bruno cirillo,Italy,39
422685,bruno fernandes,Portugal,22
268273,bruno gonzalez,Spain,26
79013,bruno pereirinha,Portugal,28
267911,bruno peres,Brazil,26
127829,bruno perone,Brazil,29
424875,bruno petkovic,Croatia,22
74403,bruno saltor,Spain,35
42479,bruno soriano,Spain,32
193937,bruno zuculini,Argentina,23
299799,bryan cristante,Italy,21
193859,bryan oviedo,Costa_Rica,26
38229,bryan ruiz,Costa_Rica,31
177083,burak kaplan,Germany,26
42221,cagdas atan,Turkey,36
150922,caiuby,Brazil,28
23563,caleb folan,United_Kingdom,33
172841,callum mcmanaman,England,25
184321,callum wilson,United_Kingdom,24
425255,calum chambers,United_Kingdom,21
37277,calum davenport,United_Kingdom,33
562593,cameron brannagan,United_Kingdom,20
23371,carl dickinson,United_Kingdom,29
36832,carl hoefkens,Belgium,37
214685,carl jenkinson,United_Kingdom,24
40721,carl medjani,France,31
213694,carles planas,Spain,25
30661,carles puyol,Spain,38
23984,carlo cudicini,Italy,43
166648,carlos bacca,Colombia,30
102912,carlos calvo,Spain,31
17299,carlos carmona,Spain,29
49940,carlos carmona,Chile,29
574654,carlos castro,Spain,21
282471,carlos clerc,Spain,24
33863,carlos cuellar,Spain,35
37754,carlos diogo,Uruguay,33
30954,carlos edwards,Trinidad_and_Tobago,37
516854,carlos fernandez,Spain,20
74404,carlos garcia,Spain,32
317822,carlos gruezo,Ecuador,21
57076,carlos javier grossmuller,Uruguay,33
25563,carlos kameni,Cameroon,32
112848,carlos labrin,Chile,25
74721,carlos lorens bellvis,Spain,31
30752,carlos marchena,Spain,37
102620,carlos martinez,Spain,30
18923,carlos matheu,Argentina,31
38136,carlos reina aranda,Spain,36
34479,carlos salcido,Mexico,36
56972,carlos sanchez,Colombia,30
38817,carlos tevez,Argentina,32
183440,carlos tomas,Spain,28
75342,carlos vela,Mexico,27
518240,carlos vigaray,Spain,22
106309,carlos zambrano,Peru,27
38004,carmelo gonzalez,Spain,33
35881,carsten rothenbach,Germany,36
282276,cauley woodrow,Hertfordshire,21
201939,cedric bakambu,France,25
27512,cedric makiadi,The_Democratic_Republic_Of_Congo,32
160627,cedric soares,Germany,25
187279,cedric,The_Democratic_Republic_Of_Congo,24
51953,celso borges,Costa_Rica,28
37440,cesar arzo,Spain,30
72541,cesar azpilicueta,Spain,27
33828,cesar navas,Spain,36
24494,cesar sanchez,Spain,45
39702,cesar,Brazil,37
39419,cesare bovo,Italy,33
27721,cesare natali,Italy,37
30613,cesc fabregas,Spain,29
78314,ceyhun gulselam,Germany,28
92375,cezary wilk,Poland,30
36040,chadli amri,France,31
277761,chancel mbemba,The_Democratic_Republic_Of_Congo,22
209439,charalampos mavrias,Greece,22
50638,charles aranguiz,Chile,27
35882,charles takyi,Ghana,31
213653,charles,Brazil,32
68237,charlie daniels,United_Kingdom,30
112119,charlison benschop,Kingdom_of_the_Netherlands,27
27654,chavdar yankov,Bulgaria,32
107216,ched evans,United_Kingdom,27
148302,cheikhou kouyate,Senegal,26
36133,chinedu ede,Germany,29
40176,chinedu obasi,Nigeria,30
43247,chris baird,Northern_Ireland,34
113772,chris basham,United_Kingdom,28
23257,chris brunt,United_Kingdom,31
38856,chris eagles,Hertfordshire,30
38067,chris gunter,United_Kingdom,27
110947,chris herd,Australia,27
23431,chris iwelumo,United_Kingdom,38
47551,chris katongo,Zambia,34
34421,chris kirkland,United_Kingdom,35
47555,chris martin,Suffolk,27
21849,chris mccann,Republic_of_Ireland,29
24163,chris riggott,United_Kingdom,36
165823,chris smalling,United_Kingdom,26
27471,chris,Brazil,38
34530,christian abbiati,Italy,39
282474,christian alfonso,Spain,27
41861,christian amoroso,Italy,40
242887,christian atsu,Ghana,24
148315,christian benteke,The_Democratic_Republic_Of_Congo,25
178804,christian clemens,Germany,25
58358,christian dorda,Germany,27
37381,christian eichner,Germany,33
33772,christian eigler,Germany,32
157723,christian eriksen,Denmark,24
43061,christian fuchs,Austria,30
27324,christian gentner,Germany,31
35437,christian kalvenes,Norway,39
35988,christian lell,Germany,32
39535,christian maggio,Italy,34
448805,christian mathenia,Germany,24
25549,christian obodo,Nigeria,32
30250,christian pander,Germany,33
27693,christian panucci,Italy,43
50669,christian puggioni,Italy,35
25483,christian schulz,Germany,33
97727,christian strohdiek,Germany,28
34971,christian tiffert,Germany,34
38183,christian timm,Germany,37
35991,christian vander,Germany,35
38490,christian vieri,Italy,43
37354,christian weber,Germany,33
27488,christian wetklo,Germany,36
29543,christoph janker,Germany,31
269788,christoph kramer,Germany,25
30649,christoph metzelder,Germany,35
180126,christoph moritz,Germany,26
30912,christoph spycher,Switzerland,38
32581,christophe berra,United_Kingdom,31
200965,christopher avevor,Germany,24
19020,christopher samba,France,32
50395,christopher schorch,Germany,27
31092,chu-young park,South_Korea,31
130670,chung-yong lee,South_Korea,28
161414,ciaran clark,United_Kingdom,27
40203,ciprian marica,Romania,30
103218,ciprian tatarusanu,Romania,30
39713,ciro polito,Italy,37
26096,clarence seedorf,Suriname,40
23349,clarke carlisle,United_Kingdom,36
37421,claudio bravo,Chile,33
41890,claudio marchisio,Italy,30
18853,claudio morel,Paraguay,38
39218,claudio pani,Italy,30
25366,claudio pizarro,Peru,37
39208,claudio rivalta,Italy,38
41874,claudio terzi,Italy,32
113968,claudio yacob,Argentina,29
31498,cleber santana,Brazil,35
307069,cleber,Brazil,25
35989,clemens fritz,Germany,35
118298,clemens walch,Austria,29
23311,clint hill,United_Kingdom,37
37156,collin benjamin,Namibia,38
169721,connor wickham,United_Kingdom,23
77727,conor sammon,Republic_of_Ireland,29
28081,constant djakpa,Ivory_Coast,29
318535,constantin nica,Romania,23
37473,cosmin contra,Romania,40
103428,costel pantilimon,Romania,29
41073,craig beattie,United_Kingdom,32
33781,craig bellamy,United_Kingdom,37
40548,craig cathcart,United_Kingdom,27
169162,craig dawson,United_Kingdom,26
187668,craig eastmond,United_Kingdom,25
23034,craig fagan,United_Kingdom,33
25075,craig gardner,United_Kingdom,29
32562,craig gordon,United_Kingdom,33
150596,craig noone,United_Kingdom,28
25584,cribari,Brazil,36
113695,cristian alvarez,Argentina,30
243608,cristian battocchio,Argentina,24
102628,cristian bustos,Spain,33
27692,cristian chivu,Romania,35
114076,cristian gamboa,Costa_Rica,26
37445,cristian hidalgo,Spain,33
18590,cristian llama,Argentina,30
287226,cristian lobato,Spain,27
24791,cristian molinaro,Italy,33
115330,cristian pasquato,Italy,27
33889,cristian portilla,Spain,28
282692,cristian portu,Spain,24
42650,cristian raimondi,Italy,35
26310,cristian rodriguez,Uruguay,30
12766,cristian sapunaru,Romania,32
39714,cristian silvestri,Italy,41
41763,cristian stellini,Italy,42
213704,cristian tello herrera,Spain,25
30906,cristian zaccardo,Italy,34
24970,cristian zapata,Colombia,29
27701,cristian zenoni,Italy,39
39229,cristiano del grosso,Italy,33
38762,cristiano doni,Italy,43
25337,cristiano lucarelli,Italy,40
39313,cristiano lupatelli,Italy,38
239964,cristiano piccini,Italy,24
30893,cristiano ronaldo,Portugal,31
31739,cristiano zanetti,Italy,39
50449,cristobal jorquera,Chile,28
169753,cristobal,Spain,32
24658,curtis davies,United_Kingdom,31
38920,cyril thereau,France,33
161012,daley blind,Netherlands,26
195335,damian suarez,Uruguay,28
27669,damiano ferronetti,Italy,31
190971,damiano zanon,Italy,33
27732,damiano zenoni,Italy,39
34574,damien duff,United_Kingdom,37
172610,damien le tallec,France,26
26345,damien perquis,France,32
40701,damien plessis,France,28
27502,damir vrancic,Croatia,30
46810,dan gosling,United_Kingdom,26
151058,dani benitez,Spain,29
183497,dani castellano,Spain,28
56846,dani estrada,Spain,29
183348,dani hernandez,Venezuela,30
580704,dani ndi,Cameroon,21
280528,dani nieto,Spain,25
174634,dani schahin,Ukraine,27
33988,daniel alves,Brazil,33
33018,daniel aranzubia,Spain,37
181379,daniel ayala,Spain,25
37319,daniel baier,Germany,32
212873,daniel batz,Germany,25
37342,daniel brinkmann,Germany,30
94915,daniel brosinski,Germany,28
188058,daniel burn,United_Kingdom,24
188498,daniel caligiuri,Germany,28
282674,daniel carvajal,Spain,24
531629,daniel ceballos,Spain,20
42052,daniel ciofani,Italy,31
177698,daniel davari,Germany,28
37684,daniel de ridder,Netherlands,32
141145,daniel didavi,Germany,26
31299,daniel fernandes,Canada,33
23823,daniel fox,United_Kingdom,30
24744,daniel gabbidon,United_Kingdom,37
196126,daniel gimenez,Spain,33
177720,daniel ginczek,Germany,25
38759,daniel graham,United_Kingdom,31
33778,daniel guiza,Spain,36
29303,daniel haas,Germany,33
24138,daniel halfar,Germany,28
39843,daniel imhof,Switzerland,38
33768,daniel jarque,Spain,33
26257,daniel jensen,Denmark,37
40600,daniel kome,Cameroon,36
40523,daniel larsson,Sweden,29
111858,daniel opare,Ghana,25
75307,daniel parejo,Spain,27
114664,daniel pavlovic,Switzerland,28
522576,daniel pinillos,Spain,23
295060,daniel potts,United_Kingdom,22
43158,daniel pudil,Czech_Republic,31
97734,daniel schwaab,Germany,28
51553,daniel sturridge,United_Kingdom,27
33085,daniel van buyten,Belgium,38
193176,daniel williams,Germany,27
33285,daniel ziebig,Germany,33
34952,daniele bonera,Italy,35
42387,daniele cacia,Italy,33
41536,daniele capelli,Italy,30
24405,daniele conti,Italy,37
41540,daniele croce,Italy,34
30682,daniele de rossi,Italy,33
27672,daniele dessena,Italy,29
39534,daniele franceschini,Italy,40
37541,daniele galloppa,Italy,31
24793,daniele gastaldello,Italy,33
41661,daniele mannini,Italy,32
42692,daniele padelli,Italy,30
27675,daniele paponi,Italy,28
24792,daniele portanova,Italy,37
111747,daniele ragatzu,Italy,25
358155,daniele rugani,Italy,22
585237,daniele verde,Italy,20
30477,danijel pranjic,Croatia,34
362120,danilo cataldi,Italy,22
207039,danilo soares,Brazil,24
27708,danilo soddimo,Italy,29
19249,danilo,Brazil,32
208077,danilo,Brazil,25
240537,danny da costa,Germany,23
40565,danny guthrie,United_Kingdom,29
162679,danny latza,Germany,26
38432,dante,Brazil,32
39304,dario dainelli,Italy,37
361946,dario del fabro,Italy,21
39732,dario knezevic,Croatia,34
30977,dariusz dudka,Poland,32
119014,darko lazovic,Serbia,26
609733,darnell furlong,United_Kingdom,20
23949,darren bent,United_Kingdom,32
24148,darren fletcher,United_Kingdom,32
33048,darren pratley,United_Kingdom,31
24156,darron gibson,United_Kingdom,28
289278,darwin machis,Venezuela,23
104482,daryl janmaat,Netherlands,27
121633,david alaba,Austria,24
30666,david albelda,Spain,39
39699,david baiocco,Italy,41
41294,david barral,Spain,33
35983,david carney,Australia,32
479217,david costas,Spain,21
187189,david davis,United_Kingdom,25
182917,david de gea,Spain,25
27665,david di michele,Italy,40
30342,david dunn,United_Kingdom,36
24234,david edgar,Canada,29
24676,david edwards,United_Kingdom,30
25070,david fox,Staffordshire,32
38468,david fuster torrijos,Spain,34
33767,david garcia,Spain,35
74991,david garcia,Spain,34
37498,david generelo,Spain,34
32465,david goodwillie,United_Kingdom,27
36286,david james,Hertfordshire,46
30749,david jarolim,Czech_Republic,37
25415,david jones,United_Kingdom,31
246218,david junca,Spain,22
553597,david kinsombi,Germany,20
108572,david lomban,Spain,29
215584,david lopez,Spain,26
33866,david lopez,Spain,34
52133,david luiz,Brazil,29
32446,david marshall,United_Kingdom,31
193870,david mateos,Spain,29
131583,david meyler,Ireland_cricket_team,27
30276,david navarro,Spain,36
41175,david ngog,France,27
23190,david nugent,United_Kingdom,31
